iter	Logloss
0	0.6790030703
1	0.6650470612
2	0.6494244392
3	0.6342916117
4	0.6211774842
5	0.6088668301
6	0.5961559886
7	0.5843887779
8	0.5734817883
9	0.5635006307
10	0.5525268411
11	0.5437697734
12	0.5338185208
13	0.5241274783
14	0.5149484249
15	0.5059574492
16	0.497478967
17	0.4901657735
18	0.4842410037
19	0.4772334183
20	0.4703763311
21	0.4633100525
22	0.457652915
23	0.4524836625
24	0.4470357523
25	0.4413094008
26	0.434654407
27	0.4304311273
28	0.4252772596
29	0.4206945426
30	0.416304299
31	0.4118107207
32	0.4077228425
33	0.40414299
34	0.3996681475
35	0.3953555849
36	0.3911977
37	0.3878519718
38	0.3840658105
39	0.3804711136
40	0.3771015694
41	0.3733751822
42	0.3696516053
43	0.3668538604
44	0.3627410132
45	0.3597793309
46	0.3573715048
47	0.354063284
48	0.3513164498
49	0.3490429803
50	0.3471993871
51	0.3448123144
52	0.342263394
53	0.3396436743
54	0.3371279738
55	0.3352489629
56	0.3327596365
57	0.3306321253
58	0.327989022
59	0.3252928462
60	0.3232023381
61	0.3210896354
62	0.318886713
63	0.3170787176
64	0.3156156754
65	0.3136521016
66	0.3120242212
67	0.3097958976
68	0.3072460404
69	0.3053431055
70	0.3036227356
71	0.3019371348
72	0.2998496532
73	0.2982843212
74	0.2961729336
75	0.2949593104
76	0.2928975183
77	0.2914020128
78	0.2890172281
79	0.2874107316
80	0.2863335007
81	0.2851596188
82	0.2839482295
83	0.2822586294
84	0.28123094
85	0.2797355967
86	0.2781265421
87	0.2767425141
88	0.2757029348
89	0.2741515465
90	0.272553463
91	0.2710378888
92	0.2695082267
93	0.2680964194
94	0.2663172842
95	0.2652966208
96	0.2640184134
97	0.2629629088
98	0.2619420652
99	0.260471997
100	0.2592959894
101	0.2580596311
102	0.2567575538
103	0.2555838521
104	0.2543301273
105	0.2530410929
106	0.2520028827
107	0.2509289846
108	0.2496118467
109	0.2483635985
110	0.2476178995
111	0.2465539817
112	0.2457174866
113	0.2444975401
114	0.2435769325
115	0.2425619258
116	0.2414445753
117	0.2405763556
118	0.2394888201
119	0.2387828264
120	0.237736005
121	0.236527336
122	0.23579722
123	0.2348981405
124	0.2339244424
125	0.2331519909
126	0.2320419185
127	0.2312712146
128	0.2305245968
129	0.2294005807
130	0.2287807532
131	0.228029974
132	0.2273431123
133	0.2267386516
134	0.2262718084
135	0.2252705832
136	0.2245057882
137	0.2234913039
138	0.2226963516
139	0.2218709718
140	0.2211810836
141	0.2203546229
142	0.2195879183
143	0.2190838198
144	0.2183855185
145	0.2174822955
146	0.2167234094
147	0.2159399508
148	0.2150095249
149	0.2140647951
150	0.2134684233
151	0.2126179845
152	0.2118203119
153	0.2114610548
154	0.2108884629
155	0.2096850543
156	0.2088169607
157	0.2082097618
158	0.2077135899
159	0.2072022493
160	0.2065856645
161	0.2058337503
162	0.2052572852
163	0.2045227555
164	0.2038075381
165	0.2030119012
166	0.2023100149
167	0.2015581187
168	0.201044166
169	0.2005996074
170	0.1997332973
171	0.1991251075
172	0.1986827648
173	0.1982886304
174	0.1979224195
175	0.1973958922
176	0.1968178777
177	0.1962774067
178	0.1957999526
179	0.194999956
180	0.1944317238
181	0.193741151
182	0.193207886
183	0.1926360327
184	0.1921749183
185	0.1913533216
186	0.1905852119
187	0.1899465225
188	0.1893652473
189	0.1888228848
190	0.1879762111
191	0.1875695923
192	0.1870092687
193	0.186552622
194	0.1860354085
195	0.1854094198
196	0.1850309946
197	0.1845659168
198	0.1839496023
199	0.1835551797
200	0.1830547382
201	0.1824309114
202	0.1817114964
203	0.1812383298
204	0.1807886549
205	0.180369912
206	0.180125429
207	0.1796864912
208	0.1791879053
209	0.1789022218
210	0.1785145009
211	0.1779436024
212	0.1773216491
213	0.1767871771
214	0.1762873662
215	0.1758023637
216	0.1753277199
217	0.1749252806
218	0.174647812
219	0.1741793654
220	0.1734329458
221	0.1730783186
222	0.1728043629
223	0.1722644144
224	0.1718573812
225	0.1715650682
226	0.1712683235
227	0.1707743495
228	0.1704186053
229	0.1699173352
230	0.1694529059
231	0.1687828884
232	0.1684881613
233	0.1681602505
234	0.1675756605
235	0.1672462184
236	0.1666981811
237	0.1663128381
238	0.1659088315
239	0.1655714447
240	0.1651282733
241	0.1645985573
242	0.1642602878
243	0.1638487328
244	0.1633876544
245	0.1628894288
246	0.1623400043
247	0.1618773405
248	0.1615118862
249	0.1610148676
250	0.1606465129
251	0.1603278438
252	0.1600785329
253	0.1596034747
254	0.1592365792
255	0.1588334733
256	0.1584182613
257	0.1578847622
258	0.1575831894
259	0.1572684296
260	0.1568491462
261	0.1565247483
262	0.156019731
263	0.1556561142
264	0.1553342925
265	0.1548757001
266	0.1546459356
267	0.1542370288
268	0.1536942519
269	0.153251675
270	0.1528535773
271	0.1525070389
272	0.1520393669
273	0.1517489995
274	0.151491834
275	0.1509249709
276	0.1506066441
277	0.150299919
278	0.1499514439
279	0.149520892
280	0.1490932136
281	0.1488651875
282	0.1485052548
283	0.1481438088
284	0.1477150225
285	0.1474476694
286	0.147072559
287	0.1468665473
288	0.1465527873
289	0.1462405046
290	0.145926015
291	0.145519108
292	0.1451732991
293	0.1449413007
294	0.1445473825
295	0.1443978392
296	0.1440740718
297	0.143779642
298	0.1435180988
299	0.1432120583
300	0.142866853
301	0.1425674691
302	0.1423764099
303	0.1420160629
304	0.141714355
305	0.1413312369
306	0.1410542908
307	0.1406932142
308	0.1405122615
309	0.1400886545
310	0.1398618984
311	0.1394986419
312	0.1392061668
313	0.1389266265
314	0.1387149851
315	0.1383810032
316	0.1380643968
317	0.1377289647
318	0.1374595129
319	0.1372665712
320	0.1370761696
321	0.136713985
322	0.1365239347
323	0.1361612457
324	0.1357364857
325	0.1354362191
326	0.135050786
327	0.1347289643
328	0.1344690424
329	0.1342930529
330	0.1341035701
331	0.1337518793
332	0.1334132675
333	0.1330718454
334	0.1329286433
335	0.1326544175
336	0.1323406665
337	0.1321499046
338	0.1318390361
339	0.1314399476
340	0.1310706921
341	0.1308869381
342	0.1305445341
343	0.1303326495
344	0.1299257965
345	0.129772488
346	0.1294798327
347	0.1292302516
348	0.1290049457
349	0.1287574903
350	0.1284252198
351	0.1281111356
352	0.1279701674
353	0.1277698215
354	0.1274703655
355	0.1273200205
356	0.1269914611
357	0.1268333786
358	0.1266038663
359	0.1263634007
360	0.126059504
361	0.1257050569
362	0.1254332361
363	0.1252034445
364	0.1249767605
365	0.1248216055
366	0.1244320019
367	0.1241768361
368	0.1239534128
369	0.123689987
370	0.1234253903
371	0.1231070364
372	0.1226011814
373	0.1224735084
374	0.1222601646
375	0.1220218609
376	0.1218923503
377	0.1216776014
378	0.1213961334
379	0.1212265753
380	0.1210888679
381	0.1208841984
382	0.1206169264
383	0.1203878824
384	0.1201115488
385	0.1197334659
386	0.1195766264
387	0.119301644
388	0.1190205634
389	0.1188241988
390	0.118604955
391	0.1182516249
392	0.118021527
393	0.117794753
394	0.1175604486
395	0.1173405653
396	0.1170647091
397	0.1166585587
398	0.1163601386
399	0.1161585046
400	0.1159639145
401	0.1156856713
402	0.1154564381
403	0.1152583171
404	0.1150460992
405	0.1149458362
406	0.1147503453
407	0.1144231371
408	0.1142555696
409	0.1141036033
410	0.1138363943
411	0.1135799223
412	0.1135089338
413	0.1132591365
414	0.1130143743
415	0.1129115712
416	0.1127157831
417	0.1123181628
418	0.1121178529
419	0.1118420147
420	0.1115985767
421	0.111451042
422	0.111218377
423	0.1111012609
424	0.1109448898
425	0.1106417317
426	0.1104061843
427	0.1102338879
428	0.1099401337
429	0.1098584982
430	0.109695894
431	0.109509879
432	0.1092539836
433	0.1090384509
434	0.1089814511
435	0.1088527423
436	0.1085872357
437	0.1083809809
438	0.1082454533
439	0.1080772463
440	0.1079052021
441	0.1077167822
442	0.1075351179
443	0.1071348224
444	0.1069956918
445	0.106754938
446	0.1065125449
447	0.1063245933
448	0.106129688
449	0.1058973112
450	0.1057522896
451	0.1055356401
452	0.1052416697
453	0.1051154289
454	0.1048704415
455	0.1047031623
456	0.1044583191
457	0.1042636299
458	0.1040603115
459	0.1039585622
460	0.1037498573
461	0.10357049
462	0.1033925819
463	0.1032057112
464	0.1030665176
465	0.1029055887
466	0.1027214924
467	0.1026222112
468	0.1024171273
469	0.1022638729
470	0.1020880095
471	0.1019783425
472	0.1018782506
473	0.1016170587
474	0.1013980402
475	0.1011468736
476	0.1009720371
477	0.100811973
478	0.1006442704
479	0.1004227387
480	0.1003047939
481	0.1001354159
482	0.09997726134
483	0.09982271881
484	0.09962349884
485	0.09947573899
486	0.09931272036
487	0.09916561807
488	0.09902274932
489	0.09893086331
490	0.09884122918
491	0.09871122322
492	0.09848144964
493	0.09838276292
494	0.09830481159
495	0.09811918401
496	0.09790438998
497	0.0976396671
498	0.09748116125
499	0.09732141236
500	0.09714903488
501	0.09686713461
502	0.09669405454
503	0.09648267437
504	0.09639579656
505	0.09620740366
506	0.09604440304
507	0.0958780336
508	0.09572740935
509	0.095593359
510	0.09545511113
511	0.09535105592
512	0.09527829293
513	0.09507985661
514	0.09497700841
515	0.09483888664
516	0.09473005743
517	0.09459198971
518	0.09445986697
519	0.09433306769
520	0.0942460998
521	0.09414831384
522	0.09398178227
523	0.09375598101
524	0.09364358481
525	0.09345867783
526	0.09336418863
527	0.09307090282
528	0.09299271729
529	0.09285190226
530	0.09271176281
531	0.09251442541
532	0.09238715774
533	0.09231167448
534	0.09216922909
535	0.09195623657
536	0.09174668493
537	0.0915213881
538	0.09147411648
539	0.09130309914
540	0.09117069717
541	0.09104290707
542	0.09097808874
543	0.09079664066
544	0.09067350746
545	0.09053180069
546	0.09036029694
547	0.09029075866
548	0.09019162157
549	0.09003389937
550	0.08992341277
551	0.08978487666
552	0.08960964379
553	0.08941643185
