iter	Passed	Remaining
0	171	171130
1	182	91040
2	190	63266
3	198	49426
4	205	40977
5	215	35646
6	222	31502
7	230	28584
8	237	26193
9	246	24379
10	253	22775
11	262	21590
12	269	20466
13	278	19634
14	286	18787
15	294	18134
16	302	17483
17	311	16977
18	318	16452
19	327	16034
20	334	15588
21	343	15258
22	350	14903
23	359	14627
24	367	14343
25	377	14147
26	387	13946
27	395	13737
28	406	13603
29	414	13405
30	424	13263
31	432	13079
32	441	12928
33	453	12883
34	462	12753
35	473	12687
36	485	12646
37	494	12509
38	506	12469
39	517	12419
40	527	12342
41	539	12310
42	549	12227
43	560	12178
44	570	12108
45	581	12061
46	590	11971
47	604	11981
48	615	11941
49	624	11873
50	634	11812
51	643	11739
52	653	11672
53	666	11677
54	676	11626
55	686	11564
56	699	11566
57	709	11515
58	721	11513
59	733	11497
60	745	11480
61	755	11422
62	765	11382
63	774	11331
64	784	11279
65	795	11252
66	804	11196
67	814	11168
68	825	11133
69	833	11077
70	845	11058
71	853	11003
72	863	10968
73	873	10933
74	881	10875
75	891	10844
76	900	10792
77	911	10779
78	921	10737
79	929	10694
80	940	10667
81	950	10636
82	963	10647
83	976	10650
84	992	10684
85	1006	10693
86	1014	10649
87	1025	10623
88	1037	10621
89	1045	10570
90	1058	10573
91	1070	10563
92	1080	10536
93	1091	10524
94	1106	10541
95	1115	10508
96	1124	10467
97	1136	10460
98	1152	10493
99	1163	10472
100	1175	10460
101	1190	10479
102	1206	10507
103	1219	10509
104	1235	10531
105	1248	10533
106	1264	10557
107	1275	10535
108	1288	10531
109	1307	10576
110	1382	11076
111	1418	11247
112	1434	11262
113	1461	11357
114	1480	11396
115	1494	11390
116	1507	11373
117	1522	11379
118	1537	11385
119	1553	11392
120	1567	11388
121	1580	11374
122	1590	11337
123	1601	11316
124	1615	11307
125	1627	11286
126	1636	11252
127	1650	11243
128	1663	11230
129	1675	11210
130	1684	11177
131	1695	11151
132	1705	11118
133	1715	11089
134	1727	11067
135	1738	11043
136	1748	11017
137	1761	11001
138	1770	10964
139	1781	10941
140	1791	10913
141	1800	10879
142	1811	10858
143	1821	10827
144	1831	10797
145	1842	10775
146	1850	10739
147	1861	10715
148	1870	10683
149	1880	10654
150	1891	10636
151	1900	10603
152	1909	10573
153	1918	10539
154	1928	10512
155	1939	10491
156	1948	10462
157	1958	10436
158	1967	10404
159	1977	10381
160	1988	10363
161	1998	10336
162	2009	10318
163	2021	10304
164	2030	10275
165	2040	10250
166	2051	10231
167	2060	10204
168	2072	10191
169	2084	10176
170	2094	10152
171	2107	10143
172	2118	10126
173	2128	10102
174	2138	10083
175	2148	10059
176	2158	10036
177	2171	10028
178	2182	10008
179	2191	9981
180	2201	9961
181	2210	9935
182	2219	9908
183	2228	9884
184	2237	9855
185	2247	9835
186	2256	9809
187	2268	9799
188	2279	9782
189	2289	9759
190	2299	9740
191	2309	9719
192	2319	9696
193	2330	9680
194	2338	9655
195	2349	9636
196	2358	9615
197	2368	9593
198	2378	9575
199	2387	9550
200	2397	9528
201	2405	9504
202	2414	9479
203	2423	9455
204	2431	9430
205	2442	9414
206	2451	9390
207	2462	9375
208	2474	9367
209	2484	9348
210	2497	9338
211	2508	9322
212	2517	9300
213	2528	9285
214	2537	9264
215	2546	9243
216	2562	9246
217	2577	9246
218	2594	9252
219	2607	9244
220	2617	9225
221	2631	9222
222	2643	9210
223	2654	9195
224	2663	9175
225	2675	9162
226	2684	9142
227	2694	9121
228	2704	9106
229	2713	9084
230	2723	9065
231	2731	9042
232	2740	9020
233	2749	8999
234	2757	8976
235	2767	8960
236	2776	8939
237	2786	8922
238	2795	8901
239	2804	8880
240	2815	8867
241	2824	8846
242	2834	8830
243	2843	8809
244	2852	8790
245	2860	8766
246	2869	8747
247	2877	8725
248	2886	8705
249	2896	8688
250	2904	8667
251	2914	8652
252	2923	8632
253	2933	8615
254	2941	8594
255	2950	8576
256	2959	8556
257	2968	8537
258	2978	8521
259	2987	8502
260	2997	8487
261	3008	8473
262	3018	8459
263	3032	8454
264	3042	8438
265	3055	8430
266	3067	8421
267	3077	8406
268	3089	8396
269	3101	8386
270	3115	8379
271	3128	8373
272	3138	8357
273	3150	8348
274	3164	8342
275	3177	8334
276	3186	8316
277	3195	8299
278	3204	8280
279	3213	8263
280	3223	8247
281	3232	8230
282	3243	8216
283	3251	8196
284	3261	8181
285	3273	8171
286	3281	8153
287	3291	8138
288	3300	8119
289	3309	8102
290	3318	8086
291	3327	8068
292	3338	8054
293	3346	8036
294	3357	8025
295	3366	8007
296	3375	7990
297	3387	7980
298	3396	7963
299	3407	7950
300	3418	7939
301	3428	7924
302	3438	7908
303	3447	7893
304	3457	7877
305	3468	7866
306	3477	7849
307	3489	7839
308	3500	7828
309	3510	7813
310	3520	7799
311	3529	7783
312	3538	7766
313	3549	7754
314	3559	7740
315	3568	7724
316	3579	7712
317	3588	7696
318	3599	7685
319	3608	7668
320	3618	7654
321	3627	7638
322	3636	7622
323	3648	7612
324	3657	7595
325	3666	7580
326	3676	7565
327	3684	7549
328	3696	7538
329	3704	7521
330	3715	7508
331	3724	7494
332	3733	7478
333	3743	7465
334	3752	7448
335	3763	7437
336	3772	7422
337	3781	7405
338	3791	7391
339	3799	7375
340	3810	7364
341	3819	7347
342	3829	7334
343	3837	7318
344	3846	7302
345	3855	7287
346	3864	7271
347	3874	7259
348	3883	7243
349	3892	7229
350	3901	7213
351	3910	7198
352	3918	7181
353	3927	7166
354	3936	7153
355	3946	7138
356	3956	7126
357	3965	7110
358	3974	7096
359	3982	7080
360	3991	7065
361	4000	7049
362	4008	7034
363	4018	7021
364	4027	7006
365	4037	6994
366	4046	6979
367	4055	6964
368	4063	6949
369	4072	6934
370	4081	6919
371	4090	6905
372	4100	6893
373	4109	6878
374	4119	6865
375	4127	6850
376	4137	6837
377	4146	6822
378	4155	6808
379	4165	6797
380	4174	6782
381	4185	6770
382	4193	6755
383	4202	6740
384	4211	6727
385	4220	6713
386	4231	6702
387	4239	6687
388	4249	6675
389	4258	6661
390	4267	6647
391	4277	6634
392	4286	6620
393	4297	6609
394	4306	6595
395	4316	6583
396	4327	6572
397	4337	6560
398	4347	6548
399	4356	6535
400	4366	6522
401	4377	6511
402	4386	6498
403	4396	6486
404	4406	6473
405	4414	6459
406	4425	6448
407	4434	6434
408	4444	6422
409	4453	6409
410	4462	6395
411	4472	6383
412	4481	6369
413	4492	6358
414	4500	6344
415	4509	6331
416	4518	6317
417	4528	6305
418	4538	6293
419	4547	6280
420	4558	6269
421	4566	6255
422	4575	6241
423	4584	6227
424	4592	6213
425	4600	6198
426	4608	6184
427	4616	6169
428	4625	6155
429	4633	6141
430	4642	6128
431	4651	6116
432	4659	6101
433	4670	6090
434	4678	6076
435	4687	6063
436	4696	6050
437	4705	6037
438	4713	6023
439	4722	6010
440	4733	5999
441	4741	5985
442	4751	5974
443	4760	5961
444	4769	5948
445	4778	5935
446	4787	5923
447	4798	5911
448	4806	5898
449	4818	5889
450	4828	5877
451	4836	5863
452	4846	5852
453	4855	5838
454	4865	5828
455	4873	5814
456	4883	5802
457	4892	5789
458	4901	5777
459	4912	5766
460	4921	5753
461	4931	5743
462	4940	5730
463	4949	5717
464	4958	5704
465	4966	5691
466	4976	5680
467	4985	5667
468	4995	5656
469	5004	5643
470	5013	5630
471	5021	5617
472	5030	5604
473	5038	5591
474	5047	5578
475	5055	5565
476	5064	5552
477	5073	5540
478	5082	5527
479	5091	5516
480	5100	5503
481	5109	5491
482	5117	5477
483	5126	5465
484	5134	5452
485	5143	5439
486	5152	5427
487	5161	5415
488	5171	5404
489	5180	5391
490	5190	5380
491	5199	5368
492	5207	5355
493	5216	5342
494	5224	5330
495	5233	5318
496	5242	5305
497	5252	5294
498	5261	5282
499	5271	5271
500	5280	5259
501	5289	5247
502	5297	5234
503	5307	5222
504	5316	5211
505	5325	5198
506	5335	5188
507	5343	5175
508	5353	5164
509	5362	5152
510	5370	5139
511	5379	5127
512	5387	5114
513	5396	5102
514	5404	5089
515	5414	5078
516	5422	5066
517	5432	5054
518	5440	5042
519	5450	5031
520	5459	5018
521	5467	5006
522	5475	4993
523	5484	4982
524	5492	4969
525	5501	4957
526	5510	4945
527	5518	4933
528	5529	4923
529	5538	4911
530	5547	4900
531	5556	4887
532	5565	4876
533	5573	4864
534	5582	4851
535	5592	4841
536	5601	4829
537	5612	4819
538	5622	4808
539	5631	4797
540	5643	4787
541	5652	4776
542	5662	4765
543	5670	4753
544	5680	4742
545	5691	4732
546	5700	4720
547	5711	4710
548	5721	4700
549	5730	4688
550	5740	4677
551	5749	4666
552	5759	4655
553	5767	4643
554	5775	4631
555	5784	4618
556	5793	4607
557	5801	4595
558	5810	4583
559	5819	4572
560	5828	4561
561	5838	4550
562	5849	4540
563	5858	4529
564	5868	4518
565	5877	4506
566	5887	4496
567	5895	4484
568	5905	4473
569	5913	4461
570	5922	4449
571	5930	4437
572	5939	4425
573	5947	4413
574	5958	4403
575	5968	4393
576	5976	4381
577	5985	4370
578	5994	4358
579	6003	4347
580	6011	4335
581	6020	4324
582	6029	4312
583	6038	4301
584	6048	4290
585	6056	4279
586	6067	4268
587	6076	4257
588	6084	4245
589	6093	4234
590	6102	4222
591	6111	4211
592	6119	4200
593	6130	4190
594	6139	4178
595	6149	4168
596	6158	4157
597	6167	4145
598	6177	4135
599	6185	4123
600	6196	4113
601	6204	4102
602	6214	4091
603	6222	4079
604	6231	4068
605	6240	4057
606	6249	4046
607	6259	4035
608	6268	4024
609	6278	4013
610	6286	4002
611	6295	3991
612	6303	3979
613	6312	3968
614	6320	3956
615	6329	3945
616	6337	3934
617	6346	3922
618	6355	3912
619	6364	3901
620	6375	3890
621	6383	3879
622	6392	3868
623	6400	3856
624	6409	3845
625	6418	3834
626	6426	3823
627	6437	3813
628	6445	3801
629	6455	3791
630	6464	3780
631	6473	3769
632	6482	3758
633	6491	3747
634	6500	3736
635	6509	3725
636	6520	3715
637	6528	3704
638	6538	3693
639	6546	3682
640	6555	3671
641	6563	3660
642	6572	3649
643	6581	3638
644	6589	3627
